Stock_Ticker,Decision_Date,CAR,CAR/Sigma,Bootstrap
FDX,"May 9, 2017",-0.005503769851029001,-0.2650558771816456,0.37825
ODP,"June 30, 2015",-0.0010245930692099996,-0.015448749360244343,0.59126
ADSK,"April 12, 2016",0.012202393333739996,0.3149254142347782,0.67776
EA,"December 7, 2016",0.008545289989879998,0.2114578522853739,0.63015
MMM,"January 13, 2016",0.008497984344199001,0.5410256853343237,0.72615
DD,"August 19, 2016",0.02298374554516,0.5865633984183629,0.79481
AAPL,"August 1, 2016",0.03503972002819,1.1684781089147154,0.89409
INTC,"January 14, 2014",0.042087165753534,1.769140173918902,0.96394
ALG,"May 26, 2016",0.05108501038238,1.112893812221116,0.87994
HPQ,"July 9, 2015",-0.008735736779817002,-0.27626730450061127,0.36032
LLY,"July 8, 2015",0.0210808247904,1.0381579924782733,0.8552
CSCO,"August 8, 2014",0.0029538289323600003,0.09796438054475515,0.53493
ATHX,"May 7, 2015",0.11405049958639998,1.3530291792665161,0.90553
SUPN,"December 12, 2016",-0.007240151171550002,-0.11162575947258117,0.4734
HPQ,"September 14, 2015",0.014783813389760002,0.505590022042918,0.71
NATI,"August 11, 2014",0.005159413928664001,0.1812056483462864,0.60972
AMZN,"November 26, 2014",5.517246068000026e-05,0.0013807956709986494,0.45064
MMM,"February 10, 2016",0.0177444078272391,1.1336720847077455,0.88933
MSFT,"November 6, 2014",0.017517363758852277,0.785666813515253,0.79835
YHOO,"July 22, 2013",-0.07886486566182999,-2.8095213776862633,0.00112
XRX,"February 13, 2017",-0.013505850607549996,-0.3994177472410036,0.25258
F,"April 21, 2017",0.00759112637029,0.2581694137500189,0.59553
TXN,"April 25, 2016",0.01676592943623,0.5573183914481888,0.766
PRSS,"November 10, 2016",-0.055332728372250006,-0.8786471302220045,0.16882
NVS,"May 21, 2015",-0.01747396562944,-0.8062852786422937,0.18709
GE,"December 17, 2015",0.00792671714829,0.3385308455409882,0.73706
YHOO,"February 26, 2014",0.009377968600058,0.2600404714506394,0.63454
PFE,"July 1, 2014",0.019683034897329,1.1278736963140743,0.8735
AMZN,"November 9, 2015",0.047049907910355,1.0964145189754975,0.9132
SYMC,"November 13, 2013",-0.004057829652952998,-0.16313491893285573,0.4704
CSCO,"May 31, 2016",-0.00384200270026,-0.13898167659967453,0.46734
ILMN,"July 26, 2016",0.10541123756606001,1.4604135530563382,0.96977
NK,"May 3, 2017",-0.073040759231,-0.9210941837342026,0.1677
CNXN,"June 30, 2015",-0.02850321628521,-0.7725881918354053,0.21265
SBH,"April 25, 2016",0.044689472049618,0.9654793680482207,0.8812
JAKK,"June 11, 2014",-0.0026243317930170033,-0.03589632989138241,0.56733
CBS,"September 30, 2016",0.06785111778848,2.3387350383044905,0.99067
XLNX,"April 12, 2017",-0.011686474862093801,-0.5019428627034764,0.29344
PHG,"May 10, 2013",0.04195110001588,1.3416423818732777,0.91171
MMM,"July 8, 2015",-0.004365640294098,-0.2960983468398073,0.37069
TXN,"January 14, 2014",0.0001771850220600008,0.009010855715183274,0.51594
AAPL,"May 26, 2016",0.013416880693098997,0.4416245805398432,0.65879
HPQ,"December 28, 2016",-0.010355860076423,-0.3210192401864495,0.3427
GE,"July 8, 2015",-0.0190658530485535,-0.8542757172815204,0.12405
F,"March 27, 2017",-0.009603203110049998,-0.3360045868321259,0.32359
DEPO,"February 21, 2017",-0.010930846971779998,-0.15681081924486565,0.43354
BAC,"January 27, 2014",0.021120536060349998,0.9010904990841698,0.82908
AAPL,"October 7, 2016",0.039847111471259994,1.380021718929453,0.93434
BDC,"April 17, 2015",0.005538696653963001,0.19888983098186883,0.60392
TXN,"January 8, 2015",0.0032557759290839992,0.14499623974303427,0.54004
AAPL,"December 9, 2016",0.01843363064,0.6304763112826279,0.77337
BDSI,"August 10, 2016",0.16917254935411,1.6340415662505976,0.95398
MSFT,"July 11, 2016",0.008104790997386,0.2922007030876546,0.65496
MSFT,"February 17, 2016",-0.017364995131330004,-0.6001319116273428,0.23946
NVDA,"April 25, 2016",0.01921387240578,0.4580220589302182,0.7697
HPE,"March 14, 2017",-0.005250173433357601,-0.178510719341138,0.44153
MMM,"July 9, 2015",-0.008002674572920001,-0.542738216122716,0.26399
ADBE,"March 14, 2016",0.006559120144819999,0.2582133964031078,0.61268
CBS,"February 1, 2016",0.006681933941060002,0.2591307358777815,0.6108
ATHN,"April 12, 2017",-0.013481338935720002,-0.2570049304061121,0.3711
AET,"January 18, 2017",0.0014174216246000005,0.05932712440400338,0.51697
XLNX,"February 1, 2016",-0.015555006129670004,-0.6215054186772248,0.26788
AMZN,"December 17, 2015",-0.0062069075486199995,-0.14614998878093793,0.54012
EBAY,"March 19, 2013",0.030811616813699004,0.941337554160819,0.84708
OSTK,"May 10, 2013",0.062241977617008,0.9609810974051007,0.87739
DD,"May 9, 2014",-0.0051190458487299995,-0.28205194169771275,0.40005
HPQ,"April 25, 2016",0.010992938801215,0.23715309705640694,0.60923
TGT,"February 10, 2016",0.021324702546665998,0.8054626871956265,0.80599
LLY,"July 1, 2014",-0.012272727267548,-0.5612587798594966,0.27549
JBLU,"June 24, 2014",0.0018641307279799995,0.04874252898257896,0.54599
NOK,"November 26, 2014",0.04712565422648,1.224575462545656,0.89961
HPQ,"May 10, 2013",0.03372045038458,0.631755816916548,0.77136
TDA,"May 6, 2015",-0.016900963168108,-1.3601941058472804,0.08271
HPQ,"November 14, 2014",0.007608458198640001,0.2754234149526907,0.65499
SPPI,"October 2, 2015",-0.07277422796197,-1.3517533340394454,0.05737
CDW,"June 30, 2015",-0.047974956785583,-2.0517796918767948,0.02442
AAPL,"August 16, 2016",0.016454859431350003,0.5544955981577968,0.70704
AVID,"March 1, 2016",0.07618446166975,0.7919630025615272,0.85201
V,"February 9, 2016",-0.02775666612779,-1.2786219165259194,0.07164
FB,"July 16, 2014",0.015315529131674001,0.28271965070751476,0.62594
ZNGA,"March 17, 2015",-0.007214219376600002,-0.1252715730237503,0.46517
BMY,"January 13, 2016",0.0042930803791600015,0.1453533576041495,0.58166
GILD,"December 8, 2014",0.0644227225333,1.7883347872937638,0.97376
BBY,"January 15, 2014",-0.45178373417844997,-8.599896546245963,0.0
ACTG,"December 3, 2013",-0.09744169315325002,-1.3195435930613804,0.05303
AAPL,"December 11, 2014",-0.01878206192852,-0.6417035761055733,0.19121
BMY,"June 12, 2014",0.022744949127997998,0.8382017293626777,0.82081
HPQ,"April 5, 2016",-0.010464434982768002,-0.2326098056998624,0.37012
TWTR,"February 17, 2017",-0.03743282989468,-0.4289149729813098,0.2479
